name.unique	san	url	last_move_number
Bird Opening: Lasker Variation	1. f4 d5 2. Nf3 Nf6 3. e3 c5	https://lichess.org/I0HMNEk3	6
Bird Opening: Sturm Gambit	1. f4 d5 2. c4	https://lichess.org/U82giUjl	3
Bird Opening: Thomas Gambit	1. f4 d5 2. b3 Nf6 3. Bb2 d4 4. Nf3 c5 5. e3	https://lichess.org/k7h601pZ	9
Bird Opening: Williams Gambit 1	1. f4 d5 2. e4	https://lichess.org/YanL1Abt	3
Bird Opening: Williams Gambit 2	1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Qe2	https://lichess.org/U9gXB9M4	7
Bird Opening: Williams-Zilbermints Gambit	1. f4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2	https://lichess.org/Qp3Nx8px	7
Colle System: Rhamphorhynchus Variation	1. Nf3 c5 2. e3 g6 3. d4 Bg7 4. dxc5 Qa5+	https://lichess.org/28eRuk62	8
Modern Defense: Semi-Averbakh Variation, Polish Variation	1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qb6	https://lichess.org/EtIJ45YX	8
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation	1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qa5+	https://lichess.org/yW1Fzxa9	8
Modern Defense: Semi-Averbakh Variation, Pterodactyl Variation Accepted	1. Nf3 g6 2. d4 Bg7 3. e4 d6 4. c4 c5 5. dxc5 Qa5+	https://lichess.org/cA4lF0xV	10
Zukertort Opening 1	1. Nf3	https://lichess.org/A5EpUNOx	1
Zukertort Opening: Arctic Defense	1. Nf3 f6	https://lichess.org/y4jNHJBt	2
Zukertort Opening: Arctic Defense, Drunken Knight Variation	1. Nf3 f6 2. e4 Nh6 3. d4 Nf7	https://lichess.org/TgcawHvB	6
Zukertort Opening: Basman Defense	1. Nf3 h6	https://lichess.org/8heYIe1N	2
Zukertort Opening: Black Mustang Defense	1. Nf3 Nc6	https://lichess.org/jh3jYMdo	2
Zukertort Opening: Drunken Cavalry Variation	1. Nf3 Na6 2. e4 Nh6	https://lichess.org/6LvGSK97	4
Zukertort Opening: Dutch Variation	1. Nf3 f5	https://lichess.org/oY37xLW0	2
Zukertort Opening: Herrstrom Gambit	1. Nf3 g5	https://lichess.org/YXJtHP6m	2
Zukertort Opening: Kingside Fianchetto	1. Nf3 g6	https://lichess.org/oaaUDD35	2
Zukertort Opening: Lisitsyn Gambit	1. Nf3 f5 2. e4	https://lichess.org/o0ZyRszi	3
Zukertort Opening: Lisitsyn Gambit Deferred	1. Nf3 f5 2. d3 Nf6 3. e4	https://lichess.org/i8jhwXJq	5
Zukertort Opening: Pirc Invitation	1. Nf3 d6	https://lichess.org/Z80bBWGg	2
Zukertort Opening: Polish Defense	1. Nf3 b5	https://lichess.org/IXC6SPi5	2
Zukertort Opening: Queen's Gambit Invitation	1. Nf3 e6	https://lichess.org/oNuPBBjR	2
Zukertort Opening: Queenside Fianchetto Variation	1. Nf3 b6	https://lichess.org/dmhjBiTL	2
Zukertort Opening: Ross Gambit	1. Nf3 e5	https://lichess.org/wsZEd03G	2
Zukertort Opening: Shabalov Gambit	1. Nf3 e6 2. c4 a6 3. Nc3 c5 4. g3 b5	https://lichess.org/mtpyGBjB	8
Zukertort Opening: Sicilian Invitation	1. Nf3 c5	https://lichess.org/juSq0ZOr	2
Zukertort Opening: Slav Invitation	1. Nf3 c6	https://lichess.org/s9q0mHmZ	2
Zukertort Opening: Speelsmet Gambit	1. Nf3 c5 2. d4 cxd4 3. e3	https://lichess.org/jbpk2AbO	5
Zukertort Opening: St. George Defense	1. Nf3 a6	https://lichess.org/RxZVF6KY	2
Zukertort Opening: The Walrus	1. Nf3 e5 2. Nxe5 Nc6 3. Nxc6 dxc6	https://lichess.org/m609NMqN	6
Zukertort Opening: Vos Gambit	1. Nf3 d6 2. d4 e5	https://lichess.org/EXi9BQc4	4
Zukertort Opening: Wade Defense	1. Nf3 d6 2. e4 Bg4	https://lichess.org/blyVG1ns	4
Zukertort Opening: Ware Defense	1. Nf3 a5	https://lichess.org/nfUv5MlA	2
King's Indian Attack 1	1. Nf3 Nf6 2. g3 d5	https://lichess.org/kmpIB55b	4
King's Indian Attack: Smyslov Variation	1. Nf3 Nf6 2. g3 g6 3. b4	https://lichess.org/gn0c0A0J	5
King's Indian Attack: Spassky Variation	1. Nf3 Nf6 2. g3 b5	https://lichess.org/XbYgcxEt	4
King's Indian Attack: Symmetrical Defense	1. Nf3 Nf6 2. g3 g6	https://lichess.org/DgU1r1OB	4
King's Indian Attack: Wahls Defense	1. Nf3 Nf6 2. g3 g6 3. Bg2 Bg7 4. O-O O-O 5. d3 d5	https://lichess.org/CTGOJAj2	10
Polish Opening: Zukertort System	1. Nf3 Nf6 2. b4	https://lichess.org/80jM2jZm	3
Zukertort Opening 2	1. Nf3 Nf6	https://lichess.org/UwAoSFiT	2
Zukertort Opening 3	1. Nf3 Nf6 2. Nc3 Nc6	https://lichess.org/x6Xs5MmH	4
Zukertort Opening: Double Fianchetto Attack	1. Nf3 Nf6 2. g3 g6 3. b3 Bg7 4. Bb2 O-O 5. Bg2 d6 6. O-O	https://lichess.org/JhrPIrol	11
Zukertort Opening: Lemberger Gambit	1. Nf3 Nf6 2. e4	https://lichess.org/iBm7PJHY	3
Zukertort Opening: Myers Polish Attack	1. Nf3 Nf6 2. a4 g6 3. b4	https://lichess.org/23IOeNPB	5
Zukertort Opening: Nimzo-Larsen Variation	1. Nf3 Nf6 2. b3	https://lichess.org/rYOIu7cK	3
Zukertort Opening: Quiet System	1. Nf3 Nf6 2. e3	https://lichess.org/01I0Q5Ya	3
Nimzo-Larsen Attack: Classical Variation 2	1. Nf3 d5 2. b3	https://lichess.org/7TTHJNf6	3
Nimzo-Larsen Attack: Norfolk Gambit 1	1. Nf3 d5 2. b3 c5 3. e4	https://lichess.org/rVjOA7bo	5
Nimzo-Larsen Attack: Norfolk Gambit 2	1. Nf3 d5 2. b3 Nf6 3. Bb2 c5 4. e4	https://lichess.org/7nhiWCze	7
Zukertort Opening 4	1. Nf3 d5	https://lichess.org/ZmwhYzvJ	2
